"tayren","طايرين"
"elzbal","الزبال"
"b26raf","بأطراف"
"bzbo6sh","بزبطش"
"al56bo6","الخطبوط"
"kondraa","كندره"
"bjwabak","بجوابك"
"bt7eb","بتحب"
"maza","مازا"
"jabtli","جابتلي"
"lab2lk","لابئلك"
"yfar7ak","يفرحك"
"asawelk","اسويلك"
"7alten","حالتين"
"bdomni","بضمني"
"mhmr","محمر"
"adka","اذكى"
"yestefl","يصطفل"
"thanyeh","ثانيه"
"ytlaho","يتلهو"
"ghyebak","غيابك"
"b3'l6","بغلط"
"malizi","ماليزي"
"el6a5","الطخ"
"t7kesh","تحكيش"
"btl3li","بطلعلي"
"nescafe","نسكافيه"
"3man","عمان"
"2tl3thm","اتلعثم"
"bezabt","بزبط"
"ahsnlk","احسنلك"
"n3mlo","نعمله"
"bthakri","بتذكري"
"el9alah","الصلاه"
"mnzre","منزري"
"2gdmk","اقدمك"
"b5mseh","بخمسه"
"imtan","امتن"
"keef","كيف"
"yhemmk","يهمك"
"btswy","بتسوي"
"8rfoni","قرفوني"
"brahim","ابراهيم"
"6ari8a","طريقه"
"mn3ni","منعني"
"btokle","بتوكلي"
"tatb5i","تتطبخي"
"l7yato","لحياتو"
"y$feki","يشفيكي"
"8ole","قولي"
"5ft","خفت"
"nsalkom","نسالكم"
"tmshklt","تمشكلت"
"bt9ere","بتصيري"
"e7ki","احكي"
"llshsmo","للشسمو"
"ed5al","ادخال"
"dmnhum","ضمنهم"
"seyasyeh","سياسيه"
"mbaineh","مبينه"
"3umrk","عمرك"
"elabya9'","الأبيض"
"tqrebn","تقريبا"
"neyalek","نيالك"
"6awalt","طولت"
"tshrft","تشرفت"
"tal3etlik","طالعتلك"
"bt2ther","بتأثر"
"b2smu","بأسمه"
"b8ulak","بقلك"
"soda","سودا"
"alga","القى"
"mbr3'l","مبرغل"
"3mlteha","عملتيها"
"$b7","شبح"
"n3'$","نغش"
"7snat","حسنات"
"2yo","ايو"
"norti","نورتي"
"2l8reh","القريه"
"esa3a","الساعه"
"ashkalk","اشكالك"
"fdetk","فديتك"
"f9e7a","فصيحه"
"bn8ol","بنقول"
"niyalak","نيالك"
"dayerh","دايره"
"bs2lne","بسألني"
"btsawe","بتسوي"
"tho8ethn","ذقتهن"
"aklh","اكله"
"wa9'7","واضح"
"2krbo","اكربو"
"93beh","صعبه"
"ysam7ek","يسامحك"
"a3y6","اعيط"
"mltzmeh","ملتزمه"
"$deh","شده"
"elfa8r","الفقر"
"b7jar","بحجر"
"8stak","قصتك"
"ketheb","كذب"
"btm$i","بتمشي"
"t2jal","تأجل"
"a7awel","احاول"
"lfrezer","الفريزر"
"whad","واحد"
"r7","رح"
"el3almen","العالمين"
"2dha","أدهى"
"jble","جبلي"
"smaru","سماره"
"$rf","شرف"
"3lee","علي"
"b5or","بخور"
"mnshoof","منشوف"
"bkol","بكل"
"b3nele","بعنيلي"
"nshark","نشارك"
"6are8t","طريقة"
"belsolafeh","بالسولافه"
"bt8dresh","بتقدريش"
"mskreta","مسكريته"
"y7meha","يحميها"
"amaneh","امانه"
"mafe","ما في"
"9fat","صفات"
"tla8e","تلاقي"
"3eeb","عييب"
"7mdila","حمدلله"
"9afi","صافي"
"dobah","دبه"
"el7amdolelal","الحمدلله"
"74ftoh","حذفته"
"shu","شو"
"t$ofeni","تشوفيني"
"tra","ترا"
"ploze","بلوزه"
"e$rabi","اشربي"
"b3rfe$","بعرفش"
"sobhan","سبحان"
"mb9o6ah","مبسوطه"
"tawjehi","توجيهي"
"bt3ane","بتعاني"
"tsme","تسمي"
"alzoom","الزوم"
"b3e6","بعيط"
"ghorfa","غرفه"
"ta9memek","تصميمك"
"b6b3o","بطبعو"
"3da","عدا"
"shouf","شوف"
"y9ar7o","يصارحو"
"ajbd","اجبد"
"shahar","شهر"
"2ga3d","اقعد"
"a8rb","اقرب"
"bo$ar","بوشار"
"bn9ha","بنصحه"
"fnajen","فناجين"
"5watk","خواتك"
"oo","و"
"b6lt","بطلت"
"tsogi","تسوقي"
"rasmeh","رسمه"
"walaw","ولو"
"shghlat","شغلات"
"rh","رح"
"b$klk","بشكلك"
"e79'roha","احضروها"
"3'azal","غزال"
"9'eed","ضد"
"$or6t","شرطة"
"btkono","بتكونوا"
"ghrebeh","غريبه"
"b7a8ha","بحقها"
"m34renk","معذرينك"
"elmazeoon","المزيون"
"tafkero","تفكيرو"
"bktub","بكتب"
"mb7bsh","مابحبش"
"ma8lb","مقلب"
"hlal","حلال"
"kunt","كنت"
"dof3tk","دفعتك"
"34ab","عذاب"
"a7kilik","احكيلك"
"blmara","بالمره"
"labis","لابس"
"ykhalelk","يخليلك"
"yome","يومي"
"s7lha","سحلها"
"yro7","يروح"
"b8a76","بقاحط"
"$ft","شفت"
"yarmouk","يرموك"
"2lmadeh","الماده"
"5shaba","خشبه"
"jarb","جرب"
"m9wra","مصوره"
"rajlk","رجلك"
"6mnene","طمنيني"
"bet9ye3e","بتصيعي"
"tab3inek","تبعينك"
"3'er","غير"
"mrwi7","مروح"
"3rftk","عرفتك"
"ed3o","ادعو"
"bn3edha","بنعيدها"
"ydl","يضل"
"ystor","يستر"
"msa2o","مسائه"
"r3'm","رغم"
"tel3ab","تلعب"
"en8a3i","انقعي"
"nelta8e","نلتقي"
"bst7i","بستحي"
"bdal","بدال"
"la3ad","لعاد"
"3elthom","عيلتهم"
"msaree","مصاري"
"da2erah","دائره"
"2e5te","اختي"
"m3allem","معلم"
"taib","طيب"
"net3araf","نتعرف"
"fa9el","فصل"
"fr3on","فرعون"
"t3ol","تعول"
"el7asod","الحسود"
"elbeat","البيت"
"t5aylou","تخيلوا"
"shufti","شفتي"
"25taseret","اختصرت"
"2bte8rablak","ابتقربلك"
"elma6ba5","المطبخ"
"ma2sawe","مأساوي"
"m7lyeto","محليته"
"3mi","عمي"
"m9dom","مصدوم"
"dof3tha","دفعتها"
"m9'ay8","مضايق"
"2l3ngod","العنقود"
"sar2","سارء"
"btqsf","بتقصف"
"da7ktni","ضحكتني"
"bt8a9ri","بتقصري"
"5arje","خارجي"
"bser","بسير"
"nfseh","نفسيه"
"el7l8ah","الحلقه"
"bst7e8","بستحق"
"2a5r","اخر"
"shofelk","شوفيلك"
"bt7ti","بتحطي"
"la3b","لعب"
"8amos","قاموس"
"25bark","اخبارك"
"arqamko","ارقامكوا"
"t5dune","تخدوني"
"tj7rsh","تجحرش"
"mo5awl","مخول"
"a7mer","احمر"
"mt7amseh","متحمسه"
"whyna","وهينا"
"bwjhna","بوجهنا"
"r2ayk","رايك"
"8er$","قرش"
"2smee","اسمي"
"wys3dk","ويسعدك"
"majod","مجود"
"at2kad","اتاكد"
"lya8h","لياقه"
"akhdo","اخدو"
"met","مية"
"a7bch","احبج"
"3'alena","غالينا"
"feza3a","فيزعى"
"3a6l","عاطل"
"el6l3ah","الطلعه"
"el7ag","الحق"
"bldnia","بالدنيا"
"bklamek","بكلامك"
"rawa7at","روحت"
"frjetha","فرجيتها"
"daybe","ذايبه"
"tansa","تنسى"
"5ebti","خيبتي"
"qalb","قلب"
"t3ban","تعبان"
"bjeblak","بجيبلك"
"onashdoka","اناشدكوا"
"khawa","خاوه"
"yareet","ياريت"
"maja7ef","مجاحف"
"shd5lak","شدخلك"
"serto","سيرتو"
"2brahem","ابراهيم"
"aldawam","الدوام"
"b3rd","بعرض"
"2nhfk","أنهفك"
"f3ltoha","فعلتوها"
"3'yranen","غيرانين"
"9fn","صفن"
"ehtami","اهتمي"
"ybkruha","يبكروها"
"bdkish","بدكيش"
"al3omor","العمر"
"mt2sef","متأسف"
"tjm3na","تجمعنا"
"kafo","كفو"
"kbab","كباب"
"no9i","نصي"
"lhadarjeh","لهدرجه"
"klyte","كليتي"
"ahebha","احبها"
"yt3alj","يتعالج"
"elba8i","الباقي"
"7dgah","حدقه"
"kolshy","كلشي"
"shio5","شيوخ"
"2golk","اقلك"
"mo$kelt","مشكلة"
"el7om","الحوم"
"2a3deen","آعدين"
"7a6et","حطيت"
"8bl","قبل"
"maw8if","موقف"
"lameen","لمين"
"bnb9t","بنبصط"
"drsni","درسني"
"btnarfze","بتنرفزي"
"modhesh","مدهش"
"kmltyh","كملتيه"
"5lgk","خلقك"
"elmothakarah","المذاكره"
"el3'orfeh","الغرفه"
"m$3'lat","مشغلات"
"wissal","واصل"
"5ames","خميس"
"tfaha","تفاها"
"9wwart","صوورت"
"la2nha","لانها"
"mjnonat","مجنونات"
"tare5i","تاريخي"
"l8esas","القصص"
"bale","بالي"
"nshuf","نشوف"
"jebt","جيبت"
"bynathom","بيناتهم"
"tw83t","توقعت"
"hati","هاتي"
"3mk","عمك"
"motbr3","متبرع"
"elazea2","الازياء"
"sar8","سارق"
"kbseh","كبسه"
"5afeh","خافيه"
"ttda5al","تتدخل"
"tnsi","تنسي"
"kbrte","كبرتي"
"bena","بينا"
"elka3bi","الكعبي"
"tejesh","تيجيش"
"wsalet","وصلت"
"a65ek","اطخك"
"t3mloli","تعملولي"
"mabsot","مبسوط"
"ayak","اياك"
"n9'fi","نظفي"
"fare7a","فريحه"
"bkra","بكره"
"labat","لابات"
"jmhorko","جمهوركو"
"odrbelha","اضربلها"
"y68lk","يطقلك"
"7kena","حكينا"
"jahzi","جهزي"
"btshbh","بتشبه"
"wa2ti","وأتي"
"b5wef","بخوف"
"2fham","افهم"
"almhm","المهم"
"blfz3a","بالفزعه"
"bqdr","بقدر"
"msla7te","مصلحتي"
"yshlk","يشلك"
"bdros","بدرس"
"2mora","اموره"
"ergo9","ارقص"
"dari","داري"
"dawam","دوام"
"yejy","يجي"
"naj7een","ناجحين"
"btstana","بتستنى"
"7ato","حطو"
"mojodeh","موجوده"
"3men","عمين"
"wini","واني"
"m$afeh","مشافيه"
"thki","ذكي"
"lsneh","لسنه"
"abil","أبل"
"tjawb","تجاوب"
"bnatk","بناتك"
"t7laeh","تحلايه"
"hlket","هلكت"
"btfkrny","بتفكرني"
"asbo3'o","اصبغه"
"e3'le","اغلي"
"mbhj","مبهج"
"zaman","زمان"
"elmasa","المسا"
"7abibk","حبيبك"
"amet","اميت"
"dahrak","ضهرك"
"bto7kmek","بتحكمك"
"79'rtk","حضرتك"
"alhmdo","الحمد"
"mshrr8","مشرق"
"ramdan","رمضان"
"fina","فينا"
"dl3","دلع"
"mnfou5ah","منفوخه"
"nase7a","نصيحه"
"bn7rj","بنحرج"
"m7laha","محلاها"
"el56'ra","الخظرا"
"ll3'reb","للغريب"
"b3t4er","بعتذر"
"2l$emaleh","الشماليه"
"8ahoa","قهوه"
"shmal","شمال"
"s3b","صعب"
"drbina","دربينا"
"b3rdk","بعرضك"
"baji","باجي"
"sh3'l","شغل"
"raked","راكض"
"bnshaf","بنشاف"
"l2nha","لانها"
"howa","هو"
"3mlti","عملتي"
"7al8at","حلقات"
"namlk","ناملك"
"ra8st","رقصة"
"fera8","فرق"
"kolna","كلنا"
"btb3tha","بتبعتها"
"79l","حصل"
"a7drit","احضرت"
"vela","فيلا"
"lbokrh","لبكره"
"zyarh","زياره"
"fra6ah","فراطه"
"m9rfji","مصرفجي"
"ma4i","ماذا"
"dme","دمي"
"mallak","مالك"
"7re$k","حريشك"
"khlood","خلود"
"wasa3","وسع"
"8rou$","قروش"
"day3","ضايع"
"y2awekee","يأويكي"
"mmiz","مميز"
"lana","لنا"
"bews3","بيوسع"
"makhed","ماخد"
"aln8la","النقله"
"mo2dbeh","مؤدبه"
"nfe3","نفع"
"ybarek","يبارك"
"jamileh","جميله"
"kyas","كيس"
"d3ifeh","ضعيفه"
"yaro7i","ياروحي"
"mhyh","مهيه"
"choufo","شوفو"
"a3ml","اعمل"
"bblsh","ببلش"
"balk","بالك"
"8dmt","قدمت"
"ahlk","اهلك"
"elanseh","الأنسه"
"wbtjnn","وبتجنن"
"bt3amal","بتعامل"
"mwjoda","موجوده"
"la2h","لأه"
"niyalha","نيالها"
"msalk","مسالك"
"5leni","خليني"
"mohadrt","محاضرة"
"wbenk","وبينك"
"5o9'or","خضر"
"eb3teha","ابعتيها"
"kamal","كمال"
"3amel","عامل"
"golt","قولت"
"la2ino","لانه"
"tb3ed","تبعد"
"nayeem","نايم"
"7abeh","حابه"
"3leeh","عليه"
"e7kole","احكولي"
"7mdlla","حمدلله"
"ejra2at","اجراءات"
"sweha","سويها"
"2desh","أديش"
"mz3hn","مزعهن"
"gwet","قويت"
"23trafat","اعترافات"
"t3ae6","تعيط"
"3arfeno","عارفينه"
"mlo5eya","ملوخيه"
"sarle","صرلي"
"rd3","ردع"
"shbh","شبه"
"$ami","شامي"
"8roud","قرود"
"bamshi","بمشي"
"maharat","مهارة"
"bldnya","بالدنيا"
"tetzakre","تتزكري"
"jr7tne","جرحتني"
"ghreb","غريب"
"shofna","شفنا"
"hchlan","هجلان"
"tayg","طايق"
"3gbal","عقبال"
"bark","بارك"
"2kthar","اكثر"
"tsh7et","تشحيط"
"wjnab","وجنب"
"emori","اموري"
"asar7k","اصارحك"
"tare5","تاريخ"
"btkhrb","بتكهرب"
"bnro7e$","بنروحش"
"ihkili","احكيلي"
"hobi","حبي"
"lenk","لانك"
"lyoum","اليوم"
"aimta","ايمتى"
"birbid","بأربد"
"w8ifh","وقفه"
"m8rrh","مقرره"
"nealk","نيالك"
"6'behom","ظبيهم"
"bgool","بقول"
"sena","سنه"
"w9loni","وصلوني"
"t7mlli","تحملي"
"5leha","خليها"
"tnt3sh","تنتعش"
"wallahi","واللهي"
"le8a2i","لقائي"
"ant8lt","انتقلت"
"bjoz","بجوز"
"bt8arri","بتقرري"
"elmlyon","المليون"
"emi","امي"
"amthalk","امثالك"
"elfatha","الفاتحه"
"b97abha","بصحابها"
"3'orftk","غرفتك"
"ref3at","رفعت"
"dshda$h","دشداشه"
"bm3naha","بمعناها"
"romncyah","رومانسيه"
"shnena","شنينه"
"a3zemha","اعزمها"
"bstfzak","بستفزك"
"t$ofek","تشوفك"
"sraha","صراحه"
"6ngret","طنقرت"
"3lm3had","عالمعهد"
"tt7jbi","تتحجبي"
"t3i","تعي"
"bt3mal","بتعمل"
"lhmra","الحمره"
"btmshkl","بتمشكل"
"goleli","قوليلي"
"2jtni","اجتني"
"yabes","يابس"
"tksrt","تكسرت"
"shrt","شرت"
"ela6ra$","الاطرش"
"2bde","ابدي"
"jo3na","جوعنا"
"sahbati","صاحباتي"
"ajatni","اجتني"
"bejnnn","بيجنن"
"l3iid","العييد"
"mn7awl","منحاول"
"zy","زي"
"jehaze","جهازي"
"mdreni","مدريني"
"shadeh","شده"
"3otla","عطله"
"amaaneh","امانه"
"ga9ereh","قصيره"
"a7otha","احطها"
"lemta","لايمتا"
"2dawim","اداوم"
"3onwan","عنوان"
"btkrhe","بتكرهي"
"nawm","نوم"
"3andek","عندك"
"mo8ableh","مقابله"
"kam","كم"
"wasta","واسطه"
"bestafezak","بستفزك"
"ysafar","يسافر"
"matskar","ماتسكر"
"zoog","زوق"
"twz3","توزع"
"day3t","ضيعت"
"badi","بدي"
"aljaltah","الجلطه"
"kwais","كويس"
"mo8rif","مقرف"
"low","لو"
"b3rfne","بعرفني"
"bt5wfe","بتخوفي"
"bhlyomen","بهاليومين"
"al3marah","العماره"
"hayty","حياتي"
"el7ijab","الحجاب"
"7awlo","حاولوا"
"el3afeh","العافيه"
"mu","مو"
"trjane","ترجاني"
"theab","ثياب"
"shqarah","شقره"
"elmoshkleh","المشكله"
"el9wefeh","الصويفيه"
"brab","برب"
"ya7lwin","ياحلوين"
"ethana","اتهنى"
"2lsbab","الاسباب"
"bs","بس"
"7rkaatk","حركاتك"
"2ljnwbey","الجنوبيه"
"deneh","دينيه"
"a6ybk","اطيبك"
"elrya9'ah","الرياضه"
"tb3to","تبعته"
"lemon","ليمون"
"za3lan","زعلان"
"bt3mle","بتعملي"
"shokrn","شكرا"
"8mna","قمنا"
"nod5ol","ندخل"
"bhonha","بهونها"
"tamarin","تمارين"
"23raf","اعرف"
"nw3etha","نوعيتها"
"elf9'elh","الفضيله"
"9orah","صوره"
"el8eyasy","القياسي"
"lasjnek","لاسجنك"
"jarba","جربه"
"ba7o6","بحط"
"m3i","معي"
"yft7oha","يفتحوها"
"sa7bi","صاحبي"
"lghby","الغبي"
"habibti","حبيبتي"
"b5sne","بخصني"
"swaitlk","سويتلك"
"7tatni","حطتني"
"bose","بوسي"
"el$a$eh","الشاشه"
"8rebn","قريبا"
"borto8al","برتقال"
"kulhum","كلهم"
"t3rfe","تعرفي"
"kbran","كبران"
"elmbla3'","المبلغ"
"rnele","رنيلي"
"7a6eto","حطيته"
"8lab","قلاب"
"bnshal","بنشل"
"7rf","حرف"
"argile","ارجيله"
"3ro0d","عروض"
"bt8ahri","بتقهري"
"m97eki","مصحيكي"
"liter","لتر"
"3noh","عنه"
"bhut","بحط"
"mafro4","مفروض"
"jou3","جووع"
"8de$","قديش"
"3rfit","عرفت"
"gazdi","قزدي"
"emta","ايمتى"
"alqamar","القمر"
"btelbese","بتلبسي"
"3nedeh","عنيده"
"shuft","شفت"
"farhet","فرحة"
"habibi","حبيبي"
"3sare3","عسريع"
"3ljme3","عالجميع"
"$oftha","شوفتها"
"ya3rafni","يعرفني"
"fukik","فكك"
"n7af","نحف"
"tarakt","تركت"
"mshn3ak","مشنعك"
"m$rteh","مشرته"
"7e$ako","حيشاكو"
"ts7a","تصحا"
"esma3","اسمع"
"mention","مينشن"
"elkberh","الكبيره"
"bsholeh","بسهوله"
"bh9'em","بهضم"
"al3ab","العب"
"6ale3en","طالعين"
"6eb","طيب"
"8a3id","قاعد"
"5tearien","ختيارين"
"nsa3do","نساعدو"
"l8a","لقا"
"aktolk","اكتلك"
"mo5drat","مخدرات"
"yes3dak","يسعدك"
"btshoufeni","بتشوفيني"
"5nzer","خنزير"
"m5tefe","مختفي"
"2hdah","اهداه"
"akon","اكون"
"aklthum","اكلتهم"
"shrat","سهرات"
"elfa9'i","الفاضي"
"masla7a","مصلحه"
"3nkbout","عنكبوت"
"tesba7y","تسبحي"
"6b8","طبق"
"wa3eat","واعيات"
"wa2t","وئت"
"ayman","ايمن"
"z3lth","زعلته"
"sog","سوق"
"elmalame7","الملامح"
"2l3afyeh","العافيه"
"$6a","شطه"
"w8aemeh","وقايمه"
"btro7y","بتروحي"
"btt3'aeri","بتتغيري"
"bkete","بكيتي"
"tomo7k","طموحك"
"89i","قصي"
"2hke","احكي"
"bywt","بيوت"
"btshufeni","بتشوفيني"
"lajaneb","الاجانب"
"flstenyeh","فلسطينيه"
"shai5","شيخ"
"bnk","بنك"
"8sm","قسم"
"mu7trm","محترم"
"mamnu3","ممنوع"
"m39beh","معصبه"
"b36i","بعطي"
"ya5fha","يخفها"
"mo8qbleh","مقابله"
"tenja7y","تنجحي"
"nisren","نسرين"
"sar3at","سارعت"
"fadetlk","فاضيتلك"
"t7ko$","تحكوش"
"mab3rf","مابعرف"
"el6'hor","الظهور"
"elt5rog","التخرج"
"bnefate7","بني فاتح"
"bwejhk","بوجهك"
"b5lfn","بخلفن"
"fal7en","فالحين"
"l5ema","لخيمه"
"jmadeh","جماده"
"mfhmtsh","مافهمتش"
"trko","تركه"
"bt5awath","بتخوث"
"bt3rfi","بتعرفي"
"7kalk","حكالك"
"ray8h","رايقه"
"6'al","ضل"
"abos","ابوس"
"3'6shn","غطسهن"
"sada","صدا"
"z3lna","زعلنا"
"7abetha","حبيتها"
"sha3'lat","شغلات"
"el2stdrake","الاستدراكي"
"39bya","عصبيه"
"el$bab","الشباب"
"met25rr","متأخره"
"rgbti","رقبتي"
"zacheh","زاجيه"
"3mrklo","عمركله"
"moshkleh","مشكله"
"mogrfen","مقرفين"
"el7o9on","الحصن"
"btbsbse","بتبسبسي"
"est7et","استحيت"
"daeman","دايما"
"yrslo","يرسلو"
"yrzo8ak","يرزقك"
"mnj8h","منجقه"
"$a$brak","ششبرك"
"yale","يلي"
"2smek","اسمك"
"mosa5","موسخ"
"3rfna","عرفنا"
"mthaba7ah","مذابحه"
"bnshof","بنشوف"
"as2eltkom","اسألتكم"
"m3krunah","معكرونه"
"elzamor","الزامور"
"bl3'rfeh","بالغرفه"
"mbzr","مبزر"
"27kei","احكي"
"tnja7ii","تنجحي"
"maze7","مزح"
"mbarh","مباره"
"shak","شك"
"mnsaf","منسف"
"el2men","الامين"
"r2yhum","رأيهم"
"telefonak","تلفونك"
"7atfni","حاتفني"
"lnmot","لنموت"
"bteshare","بتسهري"
"elwjeh","الوجه"
"7atet","حاطط"
"bllah","بالله"
"m5tyr","مختير"
"mo5tabar","مختبر"
"3sbti","عصبتي"
"2g9'b","اقضب"
"el3azeh","العازه"
"3ren","عرين"
"zagfolha","زقفولها"
"mzn5km","مزنخكم"
"fday7","فضايح"
"y7ko","يحكوا"
"t7lgly","تحلقلي"
"7l8k","حلقك"
"3lamet","علامة"
"nfhm","نفهم"
"3za","عزا"
"omnety","امنيتي"
"a83od","اقعد"
"hflet","حفلة"
"al7mdulah","الحمدلله"
"sot","صوت"
"6asheh","طاشه"
"3endkom","عندكم"
"elradyat","الرياضيات"
"mnkun","مانكون"
"shatrah","شاطره"
"fatrah","فتره"
"maybla","مايبلى"
"al7ob","الحب"
"hai","هاي"
"blshan","بلشان"
"a3tbreha","اعتبريها"
"knf$","كنفش"
"b7ibuk","بحبوك"
"kolko","كلكو"
"lmohem","المهم"
"mt4kr","متذكر"
"elnwr","النور"
"l2mte7anat","الامتحانات"
"$gf","شقف"
"sha3'lh","شغله"
"yns7ha","ينصحها"
"t78e8","تحقيق"
"lat7lm","لاتحلم"
"yroh","يروح"
"bt3rafi","بتعرفي"
"bkrah","بكره"
"3eshethom","عيشتهم"
"asandek","اساندك"
"of","اوف"
"etfa8","اتفاق"
"wfy","وفي"
"tn$e6oh","تنشيطه"
"btrsom","بترسم"
"6'lmteni","ظلمتيني"
"mhmoum","مهموم"
"motalaba","مطالبه"
"tt3'de","تتغدي"
"el39'mah","العضمه"
"mrbek","مربيك"
"btjawbe","بتجاوبي"
"nawart","نورت"
"bshoofk","بشوفك"
"someha","سميها"
"btzkrsh","بتزكرش"
"sheklo","شكله"
"jaremh","جريمه"
"hlghba2","هالغباء"
"3ndhesh","عنديش"
"alz3byh","الزعبيه"
"3arfa","عارفه"
"hamda","حماده"
"drase","دراسه"
"fr3en","فرعين"
"3eno","عينه"
"bdnha","بدنها"
"tybeh","طيبه"
"25tk","اختك"
"dableh","دبله"
"shwban","شوبان"
"al9ra5","الصراخ"
"bdha","بدها"
"jm3yet","جمعية"
"3afekra","عفكره"
"jbli","جبلي"
"wd3et","ودعيت"
"yalh","يا الله"
"sa3ten","ساعتين"
"ba9m","بصم"
"3a8lek","عقلك"
"ysleke","يسليكي"
"bdf3o","بدفعو"
"bt8sa","بتقسى"
"elensan","الانسان"
"yej3al","يجعل"
"ray7i","ريحي"
"wrjeni","ورجيني"
"bt3'neni","بتغنيني"
"bnrj3","بنرجع"
"y3'frloh","يغفرله"
"shoftak","شفتك"
"mnazleh","منزله"
"7she$","حشيش"
"mashalla","ماشاءالله"
"jras","جرس"
"maw3ed","موعد"
"6bgt","طبقت"
"mizwe2","مزوء"
"en6ami","انطمي"
"b3rafek","بعرفك"
"abo","ابو"
"absr","ابصر"
"jawhen","جوهن"
"abyn","ابين"
"te7ki","تحكي"
"7mdella","حمدلله"
"sh6e6a","شطيطه"
"atwal","اطول"
"astd3a","استدعى"
"la3yonik","لعيونك"
"faly","فلي"
"banadaf","بنظف"
"ghassan","غسان"
"7sabe","حسابي"
"foti","فوتي"
"er7mona","ارحمونا"
"eltare8ah","الطريقه"
"mustafa","مصطفى"
"las3","لاسع"
"mn9'rna","منضرنا"
"sodah","سوده"
"amhahah","امهاهاه"
"tn7a","تنحا"
"el3'ereh","الغيره"
"hawnha","هونها"
"2za","إزا"
"bshofak","بشوفك"
"jwak","جواك"
"altanieh","التانيه"
"2ml","امل"
"mnk","منك"
"tknes","تكنيس"
"lbozek","لبوزك"
"el7rarah","الحراره"
"5ls","خلص"
"bl3wbad","بالعباد"
"mro7ni","مروحني"
"shekelha","شكلها"
"kshrna","كشرنا"
"blm7l","بالمحل"
"8a3to","قاعته"
"mhlakom","محلاكم"
"m3sel","معسل"
"t9'7ki","تضحكي"
"f5adna","فخادنا"
"b5reneh","بخرينه"
"3mleh","عمله"
"3l8tna","علقتنا"
"sn9'l","سنضل"
"t3'lbe","تغلبي"
"ydobo","يادوب"
"syarat","سيارات"
"2sma3i","اسمعي"
"ywf2k","يوفئك"
"esma3i","اسمعي"
"msaly","مسالي"
"l2wll3","لأولع"
"bido","بدو"
"ibda3","ابداع"
"btkbr","بتكبر"
"wldraseh","والدراسه"
"ysabrak","يصبرك"
"9'em","ضيم"
"7da2e8","حدائق"
"8a9dak","قصدك"
"a7lamkom","احلامكم"
"zmyly","زميلي"
"a3alejha","اعالجها"
"a8rfk","اقرفك"
"lhodod","الحدود"
"met2ther","متأثر"
"khmis","خميس"
"slat","صلاة"
"mhshe","محشي"
"made7","مديح"
"shanta","شنته"
"m836alah","مقعطله"
"twakl","توكل"
"yadnya","يادنيا"
"kber","كبير"
"7alna","حالنا"
"eltaloleh","التالوله"
"mne7","منيح"
"tfa2ol","تفاؤل"
"9othom","صوتهم"
"lm7h","لمحه"
"ntet","نطيت"
"almshkla","المشكله"
"bse6h","بسيطه"
"shi","شي"
"sa7i","صاحي"
"7aywan","حيوان"
"6fat","طفت"
"akbar","اكبر"
"e3inek","يعينك"
"nayem","نايم"
"lo3bt","لعبة"
"btdall","بتدلل"
"ro7na","روحنا"
"mkrma","مكرمه"
"btnbsto","بتنبسطو"
"2lw9'3","الوضع"
"rabek","ربك"
"b3tu","بعته"
"shokri","شكري"
"5orafe","خورافي"
"md5lhm","مدخلهم"
"sawe","سوي"
"ellel","الليل"
"bnmz7","بنمزح"
"7awle","حاولي"
"2smoh","اسمه"
"elsama3at","السماعات"
"27sn","احسن"
"mohebt","محبة"
"5eyar","خيار"
"t788le","تحققلي"
"3amu","عمه"
"el6are8ah","الطريقه"
"yfhm","يفهم"
"jeble","جيبلي"
"azmel","ازميل"
"5alti","خالتي"
"sa2louk","سألوك"
"aljrba","الجربا"
"bt7bha","بتحبها"
"mashy","ماشي"
"kalamek","كلامك"
"y5lekom","يخليكم"
"t$of","تشوف"
"fe$","فيش"
"9ade8ah","صديقه"
"tfhmne","تفهمني"
"e5wati","اخواتي"
"tamaren","تمارين"
"akun","اكون"
"t5lnish","تخلنيش"
"nglt","نقلت"
"shar","شهر"
"dorh","دوره"
"jzabe","جزابه"
"2db","ادب"
"marlboro","مالبورو"
"3ersan","عرسان"
"btskr","بتسكر"
"ysm","يسم"
"rob3","ربع"
"shosho","شوشو"
"sanfora","سنفوره"
"3'ror","غرور"
"elajaneb","الاجانب"
"ra7tk","راحتك"
"blshekl","بالشكل"
"2s2al","اسال"
"2nsa","انسى"
"ywf2na","يوفئنا"
"matsd2esh","ماتصدئش"
"mn6sh","منطش"
"meen","مين"
"bshrbo","بشربه"
"t2rebn","تئريبا"
"t8rebn","تقريبا"
"maskat","ماسكات"
"alsla","الصلاه"
"wjhi","وجهي"
"mk$of","مكشوف"
"ttzawajo","تتزوجو"
"haik","هيك"
"ahaa","اها"
"lasatna","لساتنا"
"a7kele","احكيلي"
"bshtghel","بشتغل"
"elfr8","القرف"
"2bo","ابو"
"alma9re","المصاري"
"3u2baal","عئبال"
"8awyeh","قويه"
"altslek","التسليك"
"aljaw","الجو"
"ayam","ايام"
"marmo8a","مرموقه"
"m39ra","معصره"
"3a$e8","عاشق"
"7elbeh","حلبه"
"y5lilk","يخليك"
"elktaaf","الكتاف"
"a7ad","احد"
"2jblk","اجبلك"
"5arban","خربان"
"wafte5ir","وافتخر"
"y3ne","يعني"
"akhoi","اخوي"
"b36oni","بعطوني"
